,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
0,ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,small SUV,3,20,28,23,5,No
1,ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,small SUV,3,19,27,22,4,No
2,ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,small car,3,23,33,27,6,No
3,ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,small car,3,20,32,24,5,No
4,ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,small car,3,21,30,24,5,No
5,ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,small car,3,20,29,23,5,No
6,ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,small car,3,20,30,23,5,No
7,ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,small car,1,24,34,28,6,No
8,ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,midsize car,3,17,24,20,4,No
9,AUDI A3,2.0,4,AMS-6,4WD,Gasoline,small car,7,24,31,27,6,No
10,AUDI A3,2.0,4,AMS-7,2WD,Gasoline,small car,7,26,35,29,6,No
11,AUDI A3 Cabriolet,2.0,4,AMS-6,4WD,Gasoline,small car,7,22,30,25,5,No
12,AUDI A3 Cabriolet,2.0,4,AMS-7,2WD,Gasoline,small car,7,25,33,28,6,No
13,AUDI A4,2.0,4,AMS-7,4WD,Gasoline,small car,5,24,34,27,6,No
14,AUDI A4,2.0,4,Man-6,4WD,Gasoline,small car,3,24,33,27,6,No
15,AUDI A4 Ultra,2.0,4,AMS-7,2WD,Gasoline,small car,3,27,37,31,7,Yes
16,AUDI A5,2.0,4,AMS-7,4WD,Gasoline,small car,5,24,34,27,6,No
17,AUDI A5,2.0,4,Man-6,4WD,Gasoline,small car,3,24,33,27,6,No
18,AUDI A5 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,small car,5,24,34,27,6,No
19,AUDI A5 Sportback quattro,2.0,4,AMS-7,4WD,Gasoline,midsize car,5,24,34,27,6,No
20,AUDI A6,2.0,4,AMS-7,2WD,Gasoline,midsize car,5,25,34,28,6,No
21,AUDI A6,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,5,22,31,26,5,No
22,AUDI A6,3.0,6,SemiAuto-8,4WD,Gasoline,midsize car,3,20,29,23,5,No
23,AUDI A7,3.0,6,SemiAuto-8,4WD,Gasoline,midsize car,3,20,29,23,5,No
24,AUDI A8 L,3.0,6,SemiAuto-8,4WD,Gasoline,large car,3,19,29,22,4,No
25,AUDI Q3,2.0,4,SemiAuto-6,2WD,Gasoline,small car,3,20,28,23,5,No
26,AUDI Q3,2.0,4,SemiAuto-6,4WD,Gasoline,small car,3,20,28,23,5,No
27,AUDI Q5,2.0,4,SemiAuto-7,4WD,Gasoline,small SUV,3,23,27,25,5,No
28,AUDI Q7,2.0,4,SemiAuto-8,4WD,Gasoline,standard SUV,3,19,25,21,4,No
29,AUDI Q7,3.0,6,SemiAuto-8,4WD,Gasoline,standard SUV,3,19,25,21,4,No
30,AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,small car,3,19,28,22,4,No
31,AUDI S3,2.0,4,AMS-7,4WD,Gasoline,small car,3,22,28,25,5,No
32,AUDI S4,3.0,6,AMS-8,4WD,Gasoline,small car,5,21,30,24,5,No
33,AUDI S5,3.0,6,AMS-8,4WD,Gasoline,small car,5,21,30,24,5,No
34,AUDI S5 Cabriolet,3.0,6,AMS-8,4WD,Gasoline,small car,5,20,29,23,5,No
35,AUDI S5 Sportback,3.0,6,AMS-8,4WD,Gasoline,midsize car,5,21,30,24,5,No
36,AUDI SQ5,3.0,6,AMS-8,4WD,Gasoline,small SUV,5,19,24,21,4,No
37,AUDI TT Coupe,2.0,4,AMS-6,4WD,Gasoline,small car,7,23,30,26,5,No
38,AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,small car,3,19,29,22,4,No
39,AUDI TT Roadster,2.0,4,AMS-6,4WD,Gasoline,small car,7,23,30,26,5,No
40,AUDI TTS Coupe,2.0,4,AMS-6,4WD,Gasoline,small car,3,23,27,25,5,No
41,AUDI allroad quattro,2.0,4,AMS-7,4WD,Gasoline,station wagon,5,22,30,25,5,No
42,BENTLEY Bentayga,6.0,12,SemiAuto-8,4WD,Gasoline,standard SUV,3,12,19,15,2,No
43,BENTLEY Chiron,8.0,16,AMS-7,4WD,Gasoline,small car,1,9,14,11,1,No
44,BMW 230i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7,24,34,27,6,No
45,BMW 230i Coupe,2.0,4,Man-6,2WD,Gasoline,small car,7,21,32,25,5,No
46,BMW 230i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7,24,35,28,6,No
47,BMW 230i xDrive Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,small car,7,23,33,27,6,No
48,BMW 230i xDrive Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,small car,7,24,33,27,6,No
49,BMW 320i,2.0,4,Man-6,2WD,Gasoline,small car,3,23,35,27,6,No
50,BMW 320i,2.0,4,SemiAuto-8,2WD,Gasoline,small car,3,24,35,28,6,No
51,BMW 320i,2.0,4,SemiAuto-8,4WD,Gasoline,small car,3,23,34,27,6,No
52,BMW 330e,2.0,4,SemiAuto-8,2WD,Gasoline/Electricity,small car,3,28/66,34/78,30/71,10,Yes
53,BMW 330i,2.0,4,Man-6,2WD,Gasoline,small car,7,21,32,25,5,No
54,BMW 330i,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7,24,34,27,6,No
55,BMW 330i,2.0,4,SemiAuto-8,4WD,Gasoline,small car,7,23,33,27,6,No
56,BMW 330i Gran Turismo,2.0,4,SemiAuto-8,4WD,Gasoline,large car,7,23,33,27,6,No
57,BMW 330i Sports Wagon,2.0,4,SemiAuto-8,4WD,Gasoline,station wagon,7,23,33,27,6,No
58,BMW 340i,3.0,6,Man-6,2WD,Gasoline,small car,3,19,29,23,5,No
59,BMW 340i,3.0,6,Man-6,4WD,Gasoline,small car,3,19,29,23,5,No
60,BMW 340i,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3,21,32,25,5,No
61,BMW 340i,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3,21,31,25,5,No
62,BMW 340i Gran Turismo,3.0,6,SemiAuto-8,4WD,Gasoline,large car,3,20,29,23,5,No
63,BMW 430i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7,24,34,27,6,No
64,BMW 430i Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,small car,7,22,32,26,5,No
65,BMW 430i Coupe,2.0,4,Man-6,2WD,Gasoline,small car,7,21,33,25,5,No
66,BMW 430i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7,24,34,27,6,No
67,BMW 430i Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,small car,7,23,33,27,6,No
68,BMW 430i Gran Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7,24,34,27,6,No
69,BMW 430i Gran Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,small car,7,23,33,27,6,No
70,BMW 440i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3,21,29,24,5,No
71,BMW 440i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3,20,29,23,5,No
72,BMW 440i Coupe,3.0,6,Man-6,2WD,Gasoline,small car,3,19,29,23,5,No
73,BMW 440i Coupe,3.0,6,Man-6,4WD,Gasoline,small car,3,19,29,23,5,No
74,BMW 440i Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3,21,32,25,5,No
75,BMW 440i Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3,21,31,25,5,No
76,BMW 440i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3,21,32,25,5,No
77,BMW 440i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3,21,31,25,5,No
78,BMW 530e,2.0,4,SemiAuto-8,2WD,Gasoline/Electricity,small car,7,27/70,31/75,29/72,10,Elite
79,BMW 530e,2.0,4,SemiAuto-8,4WD,Gasoline/Electricity,small car,7,27/66,31/68,28/67,10,Elite
80,BMW 530i,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,7,24,34,27,6,No
81,BMW 530i,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,7,23,33,27,6,No
82,BMW 540i,3.0,6,SemiAuto-8,2WD,Gasoline,midsize car,5,21,30,24,5,No
83,BMW 540i,3.0,6,SemiAuto-8,4WD,Gasoline,midsize car,5,20,29,23,5,No
84,BMW 640i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3,20,29,23,5,No
85,BMW 640i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3,19,28,22,4,No
86,BMW 640i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3,20,29,23,5,No
87,BMW 640i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3,19,28,22,4,No
88,BMW 650i Convertible,4.4,8,SemiAuto-8,2WD,Gasoline,small car,3,17,25,20,4,No
89,BMW 650i Convertible,4.4,8,SemiAuto-8,4WD,Gasoline,small car,3,16,25,19,3,No
90,BMW 650i Gran Coupe,4.4,8,SemiAuto-8,2WD,Gasoline,small car,3,17,25,20,4,No
91,BMW 650i Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,small car,3,16,25,19,3,No
92,BMW 740e,2.0,4,SemiAuto-8,4WD,Gasoline/Electricity,large car,3,25/62,29/68,27/64,9,Yes
93,BMW 740i,3.0,6,SemiAuto-8,2WD,Gasoline,large car,3,21,29,24,5,No
94,BMW 740i,3.0,6,SemiAuto-8,4WD,Gasoline,large car,3,20,29,23,5,No
95,BMW 750i,4.4,8,SemiAuto-8,2WD,Gasoline,large car,3,17,25,20,4,No
96,BMW 750i,4.4,8,SemiAuto-8,4WD,Gasoline,large car,3,16,25,19,3,No
97,BMW Alpina B6 Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,small car,3,16,25,19,3,No
98,BMW Alpina B7,4.4,8,SemiAuto-8,4WD,Gasoline,large car,3,16,25,19,3,No
99,BMW M2,3.0,6,AMS-7,2WD,Gasoline,small car,3,20,26,22,4,No
100,BMW M2,3.0,6,Man-6,2WD,Gasoline,small car,3,18,26,21,4,No
101,BMW M240i Convertible,3.0,6,Man-6,2WD,Gasoline,small car,3,18,27,22,4,No
102,BMW M240i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3,21,30,24,5,No
103,BMW M240i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3,21,30,24,5,No
104,BMW M240i Coupe,3.0,6,Man-6,2WD,Gasoline,small car,3,19,28,22,4,No
105,BMW M240i Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3,21,30,24,5,No
106,BMW M240i Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3,21,30,24,5,No
107,BMW M3,3.0,6,AMS-7,2WD,Gasoline,small car,3,17,24,20,4,No
108,BMW M3,3.0,6,Man-6,2WD,Gasoline,small car,3,17,25,20,4,No
109,BMW M4 Convertible,3.0,6,AMS-7,2WD,Gasoline,small car,3,16,22,19,3,No
110,BMW M4 Convertible,3.0,6,Man-6,2WD,Gasoline,small car,3,17,25,20,4,No
111,BMW M4 Coupe,3.0,6,AMS-7,2WD,Gasoline,small car,3,17,24,20,4,No
112,BMW M4 Coupe,3.0,6,Man-6,2WD,Gasoline,small car,3,17,25,20,4,No
113,BMW M4 DTM Champions Edition,3.0,6,AMS-7,2WD,Gasoline,small car,3,17,24,20,4,No
114,BMW M550i,4.4,8,SemiAuto-8,4WD,Gasoline,midsize car,3,16,25,19,3,No
115,BMW M6 Convertible,4.4,8,AMS-7,2WD,Gasoline,small car,1,14,20,16,2,No
116,BMW M6 Convertible,4.4,8,Man-6,2WD,Gasoline,small car,1,15,22,17,3,No
117,BMW M6 Gran Coupe,4.4,8,AMS-7,2WD,Gasoline,small car,1,14,20,16,2,No
118,BMW M6 Gran Coupe,4.4,8,Man-6,2WD,Gasoline,small car,1,15,22,17,3,No
119,BMW M760i xDrive,6.6,12,SemiAuto-8,4WD,Gasoline,large car,3,13,20,16,2,No
120,BMW X1 sDrive28i,2.0,4,SemiAuto-8,2WD,Gasoline,large car,7,23,32,26,5,No
121,BMW X1 xDrive28i,2.0,4,SemiAuto-8,4WD,Gasoline,large car,7,22,31,25,5,No
122,BMW X4 M40i,3.0,6,SemiAuto-8,4WD,Gasoline,small SUV,3,18,25,21,4,No
123,BMW X4 xDrive28i,2.0,4,SemiAuto-8,4WD,Gasoline,small SUV,3,20,28,23,5,No
124,BUICK Encore,1.4,4,SemiAuto-6,2WD,Gasoline,small SUV,3,27,33,30,7,Yes
125,BUICK Encore,1.4,4,SemiAuto-6,4WD,Gasoline,small SUV,3,26,31,28,6,No
126,BUICK Encore,1.4,4,SemiAuto-6,4WD,Gasoline,small SUV,3,24,30,27,6,No
127,BUICK Lacrosse,2.5,4,Auto-6,2WD,Gasoline,midsize car,5,25,35,29,6,No
128,BUICK Lacrosse,3.6,6,SemiAuto-9,2WD,Gasoline,midsize car,5,21,30,24,5,No
129,BUICK Lacrosse,3.6,6,SemiAuto-9,4WD,Gasoline,midsize car,5,20,29,23,5,No
130,CADILLAC ATS,2.0,4,Man-6,2WD,Gasoline,small car,5,20,29,23,5,No
131,CADILLAC ATS,2.0,4,SemiAuto-8,2WD,Gasoline,small car,5,22,31,25,5,No
132,CADILLAC ATS,2.0,4,SemiAuto-8,4WD,Gasoline,small car,5,22,30,25,5,No
133,CADILLAC ATS,3.6,6,SemiAuto-8,2WD,Gasoline,small car,5,20,30,24,5,No
134,CADILLAC ATS,3.6,6,SemiAuto-8,4WD,Gasoline,small car,5,19,27,22,4,No
135,CADILLAC ATS-V,3.6,6,Man-6,2WD,Gasoline,small car,3,16,23,19,3,No
136,CADILLAC ATS-V,3.6,6,SemiAuto-8,2WD,Gasoline,small car,3,17,25,20,4,No
137,CADILLAC CT6,2.0,4,SemiAuto-8,2WD,Gasoline,large car,5,22,30,25,5,No
138,CADILLAC CT6,3.0,6,SemiAuto-8,4WD,Gasoline,large car,3,18,26,21,4,No
139,CADILLAC CT6,3.6,6,SemiAuto-8,4WD,Gasoline,large car,5,18,27,21,4,No
140,CADILLAC CTS,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,5,22,30,25,5,No
141,CADILLAC CTS,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,5,21,29,24,5,No
142,CADILLAC CTS,3.6,6,SemiAuto-8,2WD,Gasoline,midsize car,3,16,24,19,3,No
143,CADILLAC CTS,3.6,6,SemiAuto-8,2WD,Gasoline,midsize car,5,20,30,24,5,No
144,CADILLAC CTS,3.6,6,SemiAuto-8,4WD,Gasoline,midsize car,5,19,27,22,4,No
145,CADILLAC CTS-V,6.2,8,SemiAuto-8,2WD,Gasoline,midsize car,1,14,21,17,3,No
146,CADILLAC Escalade,6.2,8,Auto-10,2WD,Gasoline,standard SUV,3,14,23,17,3,No
147,CADILLAC Escalade,6.2,8,Auto-10,4WD,Gasoline,standard SUV,3,14,21,17,3,No
148,CADILLAC XT5,3.6,6,SemiAuto-8,2WD,Gasoline,small SUV,5,19,26,22,4,No
149,CADILLAC XT5,3.6,6,SemiAuto-8,4WD,Gasoline,small SUV,5,18,25,21,4,No
150,CHEVROLET Camaro,2.0,4,Man-6,2WD,Gasoline,small car,5,20,30,23,5,No
151,CHEVROLET Camaro,2.0,4,SemiAuto-8,2WD,Gasoline,small car,5,22,31,25,5,No
152,CHEVROLET Camaro,3.6,6,Man-6,2WD,Gasoline,small car,5,16,28,20,4,No
153,CHEVROLET Camaro,3.6,6,SemiAuto-8,2WD,Gasoline,small car,5,19,29,23,5,No
154,CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,small car,1,14,20,16,2,No
155,CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,small car,1,16,25,19,3,No
156,CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,small car,1,13,21,15,2,No
157,CHEVROLET Camaro,6.2,8,SemiAuto-8,2WD,Gasoline,small car,1,17,27,20,4,No
158,CHEVROLET Colorado,2.5,4,Auto-6,2WD,Gasoline,pickup,5,20,26,22,4,No
159,CHEVROLET Colorado,2.5,4,Auto-6,4WD,Gasoline,pickup,5,19,24,21,4,No
160,CHEVROLET Colorado,2.5,4,Man-6,2WD,Gasoline,pickup,5,20,26,22,4,No
161,CHEVROLET Colorado,2.8,4,Auto-6,2WD,Diesel,pickup,3,22,30,25,4,No
162,CHEVROLET Colorado,2.8,4,Auto-6,4WD,Diesel,pickup,3,20,28,23,4,No
163,CHEVROLET Colorado,3.6,6,Auto-8,2WD,Gasoline,pickup,5,18,25,20,4,No
164,CHEVROLET Colorado,3.6,6,Auto-8,2WD,Gasoline,special purpose,5,15,15,15,2,No
165,CHEVROLET Colorado,3.6,6,Auto-8,4WD,Gasoline,pickup,5,17,24,19,3,No
166,CHEVROLET Colorado ZR2,2.8,4,Auto-6,4WD,Diesel,pickup,3,19,22,20,3,No
167,CHEVROLET Colorado ZR2,3.6,6,Auto-8,4WD,Gasoline,pickup,5,16,18,17,3,No
168,CHEVROLET Corvette,6.2,8,Man-7,2WD,Gasoline,small car,1,15,22,18,3,No
169,CHEVROLET Corvette,6.2,8,Man-7,2WD,Gasoline,small car,1,16,25,19,3,No
170,CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,small car,1,13,23,16,2,No
171,CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,small car,1,15,25,18,3,No
172,CHEVROLET Cruze,1.4,4,Man-6,2WD,Gasoline,small car,6,27,40,32,7,Yes
173,CHEVROLET Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,small car,6,29,40,33,8,Yes
174,CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,small car,3,31,47,37,7,Yes
175,CHEVROLET Cruze,1.6,4,Man-6,2WD,Diesel,small car,3,30,52,37,7,Yes
176,CHEVROLET Cruze Hatchback,1.4,4,Man-6,2WD,Gasoline,midsize car,6,27,38,31,7,Yes
177,CHEVROLET Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,midsize car,6,29,38,32,7,Yes
178,CHEVROLET Cruze Hatchback,1.6,4,Auto-9,2WD,Diesel,midsize car,3,30,45,35,7,Yes
179,CHEVROLET Cruze Hatchback,1.6,4,Man-6,2WD,Diesel,midsize car,3,29,48,35,7,Yes
180,CHEVROLET Cruze Premier,1.4,4,SemiAuto-6,2WD,Gasoline,small car,6,29,39,33,8,Yes
181,CHEVROLET Cruze Premier Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,midsize car,6,28,37,31,7,Yes
182,CHEVROLET Equinox,1.5,4,Auto-6,2WD,Gasoline,small SUV,5,26,32,28,6,No
183,CHEVROLET Equinox,1.5,4,Auto-6,4WD,Gasoline,small SUV,5,24,30,26,5,No
184,CHEVROLET Equinox,1.6,4,Auto-6,2WD,Diesel,small SUV,3,28,39,32,6,No
185,CHEVROLET Equinox,1.6,4,Auto-6,4WD,Diesel,small SUV,3,28,38,32,6,No
186,CHEVROLET Equinox,2.0,4,Auto-9,2WD,Gasoline,small SUV,5,22,29,25,5,No
187,CHEVROLET Equinox,2.0,4,Auto-9,4WD,Gasoline,small SUV,5,22,28,24,5,No
188,CHEVROLET Impala,2.5,4,SemiAuto-6,2WD,Gasoline,large car,3,22,30,25,5,No
189,CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Ethanol/Gas,large car,5,14/18,20/28,16/22,4,No
190,CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Gasoline,large car,7,19,28,22,4,No
191,CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,midsize car,6,27,36,30,7,Yes
192,CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,midsize car,7,27,36,30,7,Yes
193,CHEVROLET Malibu,1.8,4,CVT,2WD,Gasoline,midsize car,3,49,43,46,10,Yes
194,CHEVROLET Malibu,2.0,4,Auto-9,2WD,Gasoline,midsize car,5,22,32,26,5,No
195,CHEVROLET Silverado 15,4.3,6,Auto-6,2WD,Ethanol/Gas,pickup,5,12/18,16/24,14/20,4,No
196,CHEVROLET Silverado 15,4.3,6,Auto-6,4WD,Ethanol/Gas,pickup,5,12/17,15/22,13/19,3,No
197,CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Ethanol/Gas,pickup,3,12/16,17/23,14/19,3,No
198,CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Gasoline,pickup,3,16,23,19,3,No
199,CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Gasoline,special purpose,3,15,20,17,3,No
200,CHEVROLET Silverado 15,5.3,8,Auto-6,4WD,Gasoline,pickup,3,16,22,18,3,No
201,CHEVROLET Silverado 15,5.3,8,Auto-6,4WD,Gasoline,special purpose,3,15,19,17,3,No
202,CHEVROLET Silverado 15,5.3,8,Auto-8,2WD,Gasoline,pickup,3,18,24,20,4,No
